Count,x,y,v_x,v_y,theta
1.0,0.0071567131758663,1.395486866672504,0.4853864258777532,-0.2396692483669984,0.09903932859374731
2.0,0.007441617620844513,1.39636163403908,0.48647377729624963,-0.21126192189767432,0.006098420631445289
3.0,0.017537586969062005,1.3910844293598674,0.010029798302583631,-0.2504212887917509,-0.07806063382816966
4.0,0.010931998045970304,1.3914815810202645,-0.06999730580339875,-0.2851503180035076,-0.07130641392086313
5.0,0.018662389487621722,1.3905645906453568,-0.042566758526710144,-0.24970746696234217,-0.08203307518657728
6.0,0.007494562260633229,1.391270500338531,0.050702815792735514,-0.2804194702559505,-0.0927536820702033
7.0,0.006518189571070188,1.3906639647321235,0.07115194620890473,-0.2627779595603351,-0.06636451512769909
8.0,0.01512873649116863,1.3900961896084139,-0.13639298719158802,-0.26478743403948607,-0.06584749900477042
9.0,0.022178947833353183,1.3902034222972872,-0.138166964087307,-0.2887411151091039,-0.07457691686345536
10.0,0.017173188503212013,1.3905223388009655,-0.21853619457925363,-0.29072026041127746,-0.08487134829952724
11.0,0.038356450142617265,1.3900011046157272,-0.23732621403766765,-0.28937731203544276,-0.06053145800969216
12.0,0.026566516085360852,1.3906868196673594,-0.1337023295677276,-0.27844794350579305,-0.07116434799976369
13.0,0.02143496659771548,1.3900906628157392,-0.12180786822137474,-0.28331728965108177,-0.08244236138761743
14.0,0.0275359198759864,1.3900525324399713,-0.09235110061764902,-0.2608432886634271,-0.07148327652210637
15.0,0.03158124597613168,1.393444890695754,-0.07810409990895723,-0.2533358999357916,-0.06555112641801776
16.0,0.02998970753269942,1.3927792168511015,-0.03484430344080544,-0.23500342377669242,-0.07703647570310285
17.0,0.02616259809664166,1.3905096547745868,-0.1590171975234915,-0.2716543963188606,-0.09983559417317359
18.0,0.01693092458277293,1.3901371720607347,-0.06782898867858544,-0.28213810327739575,-0.0857406509004211
19.0,0.021355254188186637,1.3904089585019428,-0.08754446310121118,-0.27273314725082676,-0.09349012920927594
20.0,0.009133193803019527,1.3906242360444698,-0.0777384560713409,-0.26972006595877834,-0.0726746710226721
21.0,0.014553978809319312,1.3912943507097313,-0.05851618592257443,-0.25985114840528245,-0.0984718525924817
22.0,0.02312276585847671,1.390704774809464,-0.028500755931397226,-0.27673981614047216,-0.09164344887027275
23.0,0.028299428576623768,1.3917850689932543,-0.03684734788471178,-0.2687265899842544,-0.0860610460742885
24.0,0.030163625773168275,1.3912672689898495,-0.06607635950233806,-0.2660038584173785,-0.0865092036247723
25.0,0.02584964001187335,1.3916663162745908,-0.019509063927592912,-0.2596763074629423,-0.07409767879933672
26.0,0.028469225904126195,1.390707461814713,-0.07194962002640845,-0.24056034305625024,-0.08962524291891615
27.0,0.02710596664997801,1.3912445247998377,-0.13794490945002158,-0.24842235927212195,-0.09196628123043804
28.0,0.033712535172377135,1.3924037396300937,-0.21221131953496483,-0.2420946887632654,-0.08915573694976196
29.0,0.03269208182513106,1.390851637406247,-0.043205312087062346,-0.27532535291381444,-0.0933336191081502
30.0,0.026872338486376303,1.391247079802611,-0.10022240907003968,-0.262745356843451,-0.08764850976219851
